Country/territory,IDF Region,Diabetes cases (20-79) in 1000s,Number of people with undiagnosed diabetes (20-79) in 1000s ,"Number of people with diabetes (20-79) in 1000s, Men ","Number of people with diabetes (20-79) in 1000s, Women ","Number of people with diabetes (20-79) in 1000s, Urban Setting ","Number of people with diabetes (20-79) in 1000s, Rural Setting ",Number of people with diabetes (20-39) in 1000s ,Number of people with diabetes (40-59) in 1000s ,Number of people with diabetes (60-79) in 1000s 
World,World,386667.28,179211.69,199223.82,187443.45,251989.39,134677.89,66537.69,185094.11,135035.47
AFR,AFR,21502.74,13443.98,10547.92,10954.83,12245.07,9257.67,8486.76,8976.32,4039.66
EUR,EUR,51978.31,17192.09,26647.5,25330.81,38724.68,13253.62,4079.56,20334.74,27564.01
MENA,MENA,36790.04,17862.2,18286.56,18503.48,24422.81,12367.23,10050.31,18033.05,8706.68
NAC,NAC,38832.42,10511.56,19336.71,19495.71,31227.72,7604.7,4633.09,17267.26,16932.08
SACA,SACA,24793.3,6782.99,11177.42,13615.88,20210.14,4583.16,3625.5,12108.34,9059.46
SEA,SEA,74957,39581.63,39423.64,35533.36,35321.21,39635.78,15764.94,41430.58,17761.48
WP,WP,137813.47,73837.24,73804.08,64009.39,89837.75,47975.72,19897.55,66943.81,50972.1
Afghanistan,MENA,805.22,402.61,398.25,406.97,258.08,547.14,185.17,412.94,207.11
Albania,EUR,64.07,19.42,31.43,32.64,38.05,26.02,8.82,26.22,29.03
Algeria,MENA,1649.07,824.54,820.89,828.19,1304.69,344.38,531,723.2,394.87
Andorra,EUR,4.44,1.51,2.25,2.19,3.8,0.65,0.23,1.62,2.59
Angola,AFR,184.48,84.86,88.76,95.73,111.44,73.04,37.15,110.92,36.41
Anguilla,NAC,1.22,0.3,0.59,0.63,1.22, -   ,0.24,0.52,0.46
Antigua and Barbuda,NAC,7.94,2.2,3.21,4.73,1.86,6.09,1.13,4.32,2.5
Argentina,SACA,1626.07,451.72,768.5,857.57,1489.54,136.52,226.89,767.56,631.62
Armenia,EUR,58.28,17.67,27.44,30.84,38.25,20.04,9.39,24.76,24.13
Aruba,NAC,12.08,3.35,4.94,7.14,4.74,7.34,1.27,5.88,4.93
Australia,WP,859.19,463.53,421.91,437.28,767.16,92.03,46.03,350.98,462.18
Austria,EUR,573.89,195.15,280.52,293.37,401.09,172.81,30.79,176.23,366.87
Azerbaijan,EUR,156.49,47.45,70.18,86.3,89.77,66.71,31.79,77.02,47.68
Bahamas,NAC,34.87,9.66,15.97,18.9,28.65,6.22,7.42,16.2,11.25
Bahrain,MENA,170.57,69.42,105.06,65.52,161.6,8.98,51.78,101.14,17.65
Bangladesh,SEA,5982.18,2979.12,2720.37,3261.81,2848.52,3133.66,2159.13,2797.67,1025.38
Barbados,NAC,30.53,8.46,12.97,17.56,9.63,20.9,2.26,15.36,12.91
Belarus,EUR,445.96,135.22,197.13,248.83,344.05,101.91,33.56,191.01,221.4
Belgium,EUR,506.93,172.38,245.61,261.32,497.68,9.25,36.87,183.71,286.34
Belize,NAC,25.47,6.37,7.9,17.56,11.54,13.92,8.44,11.51,5.52
Benin,AFR,66.29,49.78,32.34,33.96,37.73,28.56,26,28.88,11.42
Bermuda,NAC,6.9,1.91,3.34,3.56,6.9, -   ,1.16,2.84,2.9
Bhutan,SEA,23.39,12.42,13.76,9.64,12.77,10.62,7.44,10.53,5.42
Bolivia (Plurinational State of),SACA,371.09,103.09,171.15,199.94,252.74,118.35,53.84,188.03,129.22
Bosnia and Herzegovina,EUR,343.24,104.07,166.21,177.03,144.56,198.68,33.91,146.65,162.68
Botswana,AFR,30.59,14.07,9.83,20.76,22.26,8.33,4.58,13.72,12.28
Brazil,SACA,11623.32,3228.96,4930.47,6692.85,9930.19,1693.12,1536.29,5443.39,4643.64
British Virgin Islands,NAC,2.37,0.59,1.15,1.22,1.12,1.25,0.68,0.96,0.73
