Country/territory,IDF region,Adult Population (20-79) in 1000s,Diabetes cases (20-79) in 1000s,Diabetes national prevalence (%),Diabetes comparative prevalence     (%),Diabetes related deaths (20-79) ,Mean diabetes-related expenditure per person with diabetes (USD)
World,World,4640372.77,386667.28,8.33,8.19,4903698.14,1583.31
AFR,AFR,425488.8,21502.74,5.05,5.86,480884.31,208.07
EUR,EUR,660578.7,51978.31,7.87,6.24,537016.07,2775.98
MENA,MENA,378329.18,36790.04,9.72,11.26,362819.53,457.89
NAC,NAC,339214.23,38832.42,11.45,9.9,297223.33,7983.95
SACA,SACA,305620.95,24793.3,8.11,8.18,219050.3,1155.66
SEA,SEA,900342.22,74957,8.33,8.83,1185208.36,92.17
WP,WP,1630798.69,137813.47,8.45,7.89,1821496.24,732.91
Afghanistan,MENA,13086.86,805.22,6.15,8.07,18513.73,101.75
Albania,EUR,2187.1,64.07,2.93,2.57,869.6,334.46
Algeria,MENA,25214.65,1649.07,6.54,7.29,14043.57,422.87
Andorra,EUR,59.74,4.44,7.44,5.35,31.02,3524.26
Angola,AFR,9259.46,184.48,1.99,2.61,4456.86,390.74
Anguilla,NAC,9.26,1.22,13.15,12.62, - , -   
Antigua and Barbuda,NAC,59.15,7.94,13.43,13.08,94.99,927.62
Argentina,SACA,27236.13,1626.07,5.97,5.65,15220.51,1422.73
Armenia,EUR,2097.13,58.28,2.78,2.58,1026.17,216.2
Aruba,NAC,74.4,12.08,16.24,13.03, - , -   
Australia,WP,16705.03,859.19,5.14,4.08,4962.91,7931.05
Austria,EUR,6401.29,573.89,8.97,6.29,4335.31,6137.21
Azerbaijan,EUR,6535.06,156.49,2.39,2.56,2395.19,630.62
Bahamas,NAC,265.32,34.87,13.14,12.84,344.94,2180.91
Bahrain,MENA,973.28,170.57,17.53,21.87,820.11,1195.52
Bangladesh,SEA,94378.45,5982.18,6.34,6.89,111371.48,42.59
Barbados,NAC,206.58,30.53,14.78,12.35,269.98,1141.45
Belarus,EUR,7080.25,445.96,6.3,5.07,7540.95,429.41
Belgium,EUR,8006.83,506.93,6.33,4.66,4075.74,5678.98
Belize,NAC,188.36,25.47,13.52,15.88,261.53,404.45
Benin,AFR,4932.32,66.29,1.34,1.54,1221.41,64.5
Bermuda,NAC,46.15,6.9,14.94,12.77, - , -   
Bhutan,SEA,473.97,23.39,4.94,5.83,124.36,149.99
Bolivia (Plurinational State of),SACA,5890.06,371.09,6.3,7.28,4694.31,252.08
Bosnia and Herzegovina,EUR,2858.16,343.24,12.01,9.6,3335.8,523.72
Botswana,AFR,1126.5,30.59,2.72,3.9,1118.15,657.69
Brazil,SACA,133879.86,11623.32,8.68,8.7,116382.56,1527.57
British Virgin Islands,NAC,18.29,2.37,12.96,12.62, - , -   
Brunei Darussalam,WP,280.53,21.57,7.69,8.03,224.87,1384.01
Bulgaria,EUR,5536.75,402.79,7.27,5.04,6299.21,611.64
Burkina Faso,AFR,7588.48,243.18,3.2,3.72,6264.55,73.87
Burundi,AFR,4701.53,195.92,4.17,4.83,4829.1,38.21
Cambodia,WP,8961.4,229.42,2.56,2.96,5534.27,88.13
Cameroon,AFR,10511.01,515.28,4.9,5.92,13821.95,108.87
Canada,NAC,26112.52,3033.63,11.62,9.41,17923.48,6741.48
Cabo Verde ,AFR,296.93,15.61,5.26,5.85,157.3,227.14
Cayman Islands,NAC,37.94,5.02,13.24,12.77, - , -   
