Country,Gender,Age group,Prevalence,,
Anguilla,Female,20-24,0.04,,
Anguilla,Female,25-29,0.05,,
Anguilla,Female,30-34,0.06,,
Anguilla,Female,35-39,0.08,,
Anguilla,Female,40-44,0.11,,
Anguilla,Female,45-49,0.14,,
Anguilla,Female,50-54,0.17,,
Anguilla,Female,55-59,0.21,,
Anguilla,Female,60-64,0.25,,
Anguilla,Female,65-69,0.29,,
Anguilla,Female,70-74,0.32,,
Anguilla,Female,75-79,0.35,,
Anguilla,Male,20-24,0.04,,
Anguilla,Male,25-29,0.05,,
Anguilla,Male,30-34,0.06,,
Anguilla,Male,35-39,0.08,,
Anguilla,Male,40-44,0.11,,
Anguilla,Male,45-49,0.14,,
Anguilla,Male,50-54,0.17,,
Anguilla,Male,55-59,0.21,,
Anguilla,Male,60-64,0.25,,
Anguilla,Male,65-69,0.29,,
Anguilla,Male,70-74,0.32,,
Anguilla,Male,75-79,0.35,,
Antigua and Barbuda,Female,20-24,0.02,,
Antigua and Barbuda,Female,25-29,0.03,,
Antigua and Barbuda,Female,30-34,0.06,,
Antigua and Barbuda,Female,35-39,0.09,,
Antigua and Barbuda,Female,40-44,0.13,,
Antigua and Barbuda,Female,45-49,0.18,,
Antigua and Barbuda,Female,50-54,0.23,,
Antigua and Barbuda,Female,55-59,0.28,,
Antigua and Barbuda,Female,60-64,0.32,,
Antigua and Barbuda,Female,65-69,0.35,,
Antigua and Barbuda,Female,70-74,0.37,,
Antigua and Barbuda,Female,75-79,0.37,,
Antigua and Barbuda,Male,20-24,0.02,,
Antigua and Barbuda,Male,25-29,0.03,,
Antigua and Barbuda,Male,30-34,0.05,,
Antigua and Barbuda,Male,35-39,0.07,,
Antigua and Barbuda,Male,40-44,0.10,,
Antigua and Barbuda,Male,45-49,0.14,,
Antigua and Barbuda,Male,50-54,0.17,,
Antigua and Barbuda,Male,55-59,0.21,,
Antigua and Barbuda,Male,60-64,0.24,,
Antigua and Barbuda,Male,65-69,0.27,,
Antigua and Barbuda,Male,70-74,0.28,,
Antigua and Barbuda,Male,75-79,0.29,,
Aruba,Female,20-24,0.03,,
Aruba,Female,25-29,0.04,,
Aruba,Female,30-34,0.06,,
Aruba,Female,35-39,0.09,,
Aruba,Female,40-44,0.13,,
Aruba,Female,45-49,0.17,,
Aruba,Female,50-54,0.22,,
Aruba,Female,55-59,0.26,,
Aruba,Female,60-64,0.30,,
Aruba,Female,65-69,0.33,,
Aruba,Female,70-74,0.35,,
Aruba,Female,75-79,0.36,,
Aruba,Male,20-24,0.03,,
Aruba,Male,25-29,0.04,,
Aruba,Male,30-34,0.05,,
Aruba,Male,35-39,0.07,,
Aruba,Male,40-44,0.10,,
Aruba,Male,45-49,0.14,,
Aruba,Male,50-54,0.17,,
Aruba,Male,55-59,0.21,,
Aruba,Male,60-64,0.24,,
Aruba,Male,65-69,0.27,,
Aruba,Male,70-74,0.29,,
Aruba,Male,75-79,0.29,,
Bahamas,Female,20-24,0.04,,
Bahamas,Female,25-29,0.05,,
Bahamas,Female,30-34,0.07,,
Bahamas,Female,35-39,0.09,,
Bahamas,Female,40-44,0.12,,
Bahamas,Female,45-49,0.15,,
Bahamas,Female,50-54,0.19,,
Bahamas,Female,55-59,0.22,,
Bahamas,Female,60-64,0.26,,
Bahamas,Female,65-69,0.28,,
Bahamas,Female,70-74,0.31,,
Bahamas,Female,75-79,0.33,,
Bahamas,Male,20-24,0.04,,
Bahamas,Male,25-29,0.05,,
Bahamas,Male,30-34,0.07,,
Bahamas,Male,35-39,0.09,,
Bahamas,Male,40-44,0.11,,
Bahamas,Male,45-49,0.14,,
Bahamas,Male,50-54,0.17,,
Bahamas,Male,55-59,0.21,,
Bahamas,Male,60-64,0.24,,
Bahamas,Male,65-69,0.27,,
